瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥绊扁柯(∑C),弥历扁柯(∑C),乞闭浅加(m/s),乞闭款樊(1/10)
184,力林,16-Jun,22.2,30.2,16.7,2.4,7.8
184,力林,16-Jul,27.4,35.5,22.3,2.7,5.6
184,力林,16-Aug,28.5,34.4,19.9,3.1,3.9
184,力林,16-Sep,23.9,33,18.9,2.6,7.1
184,力林,16-Oct,20.1,32.1,12.2,2.9,7.8
184,力林,16-Nov,13.7,23.2,6.7,3.2,6.3
184,力林,16-Dec,9.5,22.3,3.1,3.5,6.7
184,力林,17-Jan,6.6,14.8,0.7,3.7,7.2
184,力林,17-Feb,6.8,18.9,-1.1,3.9,5.5
184,力林,17-Mar,9.8,17.9,3,3.3,5.8
184,力林,17-Apr,15.7,27.6,8.5,3.1,5
184,力林,17-May,19.5,28.1,13.6,2.6,4.8
184,力林,17-Jun,22,28,16.7,2.5,6.5
184,力林,17-Jul,29.2,37,23.1,2.7,6.1
184,力林,17-Aug,28.7,35.7,22.1,2.8,5.2
184,力林,17-Sep,24,32.1,18,2.9,7.2
184,力林,17-Oct,19.3,27.4,9.8,3.2,6.4
184,力林,17-Nov,12.6,24.2,5,3,5.8
184,力林,17-Dec,7.2,15.1,0.7,3.9,7.4
184,力林,18-Jan,4.9,14.4,-2.6,3.8,7.7
184,力林,18-Feb,5.5,17.5,-2.5,3.7,6.2
184,力林,18-Mar,11.4,23.2,2.8,3,4.8
184,力林,18-Apr,15.9,26.1,5.3,2.9,5.2
184,力林,18-May,19.1,31.1,12,2.9,6.8
184,力林,18-Jun,22.3,32.3,16.2,2.7,6.5
184,力林,18-Jul,27.3,35,19.6,2.7,5.1
184,力林,18-Aug,28.8,35.3,24.4,3.3,5.1
184,力林,18-Sep,23.9,31.2,18.5,2.8,7.1
184,力林,18-Oct,17.9,24.7,11.6,3.2,5
184,力林,18-Nov,13.9,20.5,7.3,2.6,4.8
184,力林,18-Dec,8.7,22.9,0.2,3.6,7.8
184,力林,19-Jan,6.4,12.6,2,3.3,6.5
184,力林,19-Feb,7.4,18.4,1,3,7
184,力林,19-Mar,10.8,22,3.6,3.5,5.5
184,力林,19-Apr,14.7,25,6.2,3,5.4
184,力林,19-May,20,33.1,11.9,3,5.4
184,力林,19-Jun,21.5,29.8,15.9,2.6,6.2
184,力林,19-Jul,25.2,35.4,20.4,2.6,6.9
184,力林,19-Aug,27.7,34.7,20.8,2.8,6.2
184,力林,19-Sep,24,30.4,16.7,2.9,7
184,力林,19-Oct,19.7,27.3,11.9,2.9,5.3
184,力林,19-Nov,14.6,24.3,6.9,3,5.3
184,力林,19-Dec,9.7,18.7,1.8,3.3,7.1
184,力林,20-Jan,8.9,23.6,2.4,3.5,8
184,力林,20-Feb,9.1,21.8,0.5,3.3,6.2
184,力林,20-Mar,11.5,23.2,2.5,3.2,5.1
184,力林,20-Apr,13.2,24.8,6,3.3,3.9
184,力林,20-May,18.8,29.5,13.2,2.9,5.6
184,力林,20-Jun,22.4,30.9,15,2.7,6.7
184,力林,20-Jul,24.2,34.3,19.2,2.9,7.9
184,力林,20-Aug,29.4,36.3,24.3,2.9,5.2
184,力林,20-Sep,22.9,30.7,16.8,3,6.7
184,力林,20-Oct,18.4,25.5,12.1,2.9,5.5
184,力林,20-Nov,14.1,26.7,7.6,2.9,5.8
184,力林,20-Dec,7.7,15,-1.4,3.4,6.7
184,力林,21-Jan,6.8,18.2,-3.1,3.9,6.9
184,力林,21-Feb,9.4,23.7,-1.2,3.9,5.7
184,力林,21-Mar,12.5,21.9,4.8,3.1,5.9
184,力林,21-Apr,15.4,25.9,8.2,3.2,5.5
184,力林,21-May,19,30.9,9.4,3,5.8
184,力林,21-Jun,23.4,31.5,18.4,2.4,6.7
184,力林,21-Jul,27.8,34.2,22.7,3.1,7.3
184,力林,21-Aug,27.3,33.8,22.2,2.5,6.6
184,力林,21-Sep,24.9,33.3,19,3.4,7
184,力林,21-Oct,20.1,31.8,9,2.9,4.8
184,力林,21-Nov,14,23.2,7,3.7,5.3
184,力林,21-Dec,8.9,17.4,-0.5,4.2,6.4
184,力林,22-Jan,6.2,14.4,0.3,3.5,7
184,力林,22-Feb,5.6,16.2,0,4.1,6.6
184,力林,22-Mar,11.4,22.3,4.5,3.2,5.9
184,力林,22-Apr,15.5,26.7,5.6,2.8,5
184,力林,22-May,19.4,29,9.5,2.9,5.1
184,力林,22-Jun,23.9,34.4,17.3,3.3,6.3
184,力林,22-Jul,28.4,36,23.2,3.1,6
184,力林,22-Aug,29.2,37.5,21.2,3.1,6.2
184,力林,22-Sep,24.1,32.8,17.2,3.4,7.5
184,力林,22-Oct,18.4,30.6,11.5,3.5,5
184,力林,22-Nov,15.2,27.4,4.1,3.1,5.2
184,力林,22-Dec,6.9,14.6,-0.4,4.5,7.5
184,力林,23-Jan,6.8,20.7,-3.4,4,6.6
184,力林,23-Feb,7.7,16.4,1.1,3.1,6.5
184,力林,23-Mar,12.3,22.4,2.4,2.7,4.9
184,力林,23-Apr,15.5,28.6,7.4,3.6,5.3
